Dog Shampoo,equipment,20,8,Paw Supplies Inc,2025-04-01,15.50,BSH001
Rabies Vaccine,injections,50,45,Animal Health Ltd,2025-03-28,30.00,RBV123
Tick Remover,equipment,10,5,Pet Gear,2025-04-15,12.75,TRM005
Ear Drops,creams,25,20,Wellness Pharma,2025-04-10,9.99,EDP002
Flea Ointment,ointment,30,28,Vet Essentials,2025-03-30,14.20,FLO300
Vitamin Tablets,tablets,100,90,Pet Health Inc,2025-03-25,8.50,VTM456
Pain Relief Gel,gels,40,35,Comfort Care,2025-04-05,11.00,PRG789
Deworming Tablets,tablets,60,15,Healthy Pets Co,2025-04-12,5.99,DWT003
Sterile Bandages,equipment,75,60,First Aid Supplies,2025-03-27,3.25,SBD004
Antiseptic Cream,creams,35,30,Pet Wellness,2025-04-02,7.80,ASC007
Heartworm Injection,injections,20,12,VetHealth,2025-03-29,45.00,HWI120
Eye Ointment,ointment,15,9,Clear Vision Pharma,2025-04-08,13.25,EYO505
Cooling Gel,gels,50,40,Paw Comforts,2025-04-06,10.75,COG600
Antibiotic Tablets,tablets,80,72,Medipet Labs,2025-03-31,9.50,ABT900
Joint Relief Gel,gels,25,20,Active Pets,2025-04-04,16.00,JRG102
